"knr","kNavn","year","month","unemp"
"0101","Halden","2013","07",3.4
"0101","Halden","2013","08",3.4
"0101","Halden","2013","09",3.3
"0101","Halden","2013","10",3.4
"0101","Halden","2013","11",3.5
"0101","Halden","2013","12",3.7
"0101","Halden","2014","01",3.8
"0101","Halden","2014","02",3.7
"0101","Halden","2014","03",3.9
"0101","Halden","2014","04",3.8
"0101","Halden","2014","05",3.6
"0101","Halden","2014","06",3.7
"0101","Halden","2014","07",3.5
"0101","Halden","2014","08",3.7
"0101","Halden","2014","09",3.6
"0101","Halden","2014","10",3.1
"0101","Halden","2014","11",3
"0101","Halden","2014","12",3.2
"0104","Moss","2013","07",3.6
"0104","Moss","2013","08",3.5
"0104","Moss","2013","09",3.3
"0104","Moss","2013","10",3.2
"0104","Moss","2013","11",3.2
"0104","Moss","2013","12",3.3
"0104","Moss","2014","01",4
"0104","Moss","2014","02",4
"0104","Moss","2014","03",3.8
"0104","Moss","2014","04",3.8
"0104","Moss","2014","05",3.9
"0104","Moss","2014","06",3.7
"0104","Moss","2014","07",3.8
"0104","Moss","2014","08",3.7
"0104","Moss","2014","09",3.7
"0104","Moss","2014","10",3.7
"0104","Moss","2014","11",3.4
"0104","Moss","2014","12",3.4
"0105","Sarpsborg","2013","07",4
"0105","Sarpsborg","2013","08",3.9
"0105","Sarpsborg","2013","09",3.6
"0105","Sarpsborg","2013","10",3.5
"0105","Sarpsborg","2013","11",3.5
"0105","Sarpsborg","2013","12",3.7
"0105","Sarpsborg","2014","01",4.4
"0105","Sarpsborg","2014","02",4.3
"0105","Sarpsborg","2014","03",4.2
"0105","Sarpsborg","2014","04",4.1
"0105","Sarpsborg","2014","05",4
"0105","Sarpsborg","2014","06",3.8
"0105","Sarpsborg","2014","07",4.2
"0105","Sarpsborg","2014","08",4.2
"0105","Sarpsborg","2014","09",4
"0105","Sarpsborg","2014","10",3.6
"0105","Sarpsborg","2014","11",3.5
"0105","Sarpsborg","2014","12",3.4
"0106","Fredrikstad","2013","07",4.7
"0106","Fredrikstad","2013","08",4.7
"0106","Fredrikstad","2013","09",4.4
"0106","Fredrikstad","2013","10",4.1
"0106","Fredrikstad","2013","11",4.2
"0106","Fredrikstad","2013","12",4.6
"0106","Fredrikstad","2014","01",5
"0106","Fredrikstad","2014","02",4.8
"0106","Fredrikstad","2014","03",4.7
"0106","Fredrikstad","2014","04",4.6
"0106","Fredrikstad","2014","05",4.5
"0106","Fredrikstad","2014","06",4.3
"0106","Fredrikstad","2014","07",4.4
"0106","Fredrikstad","2014","08",4.1
"0106","Fredrikstad","2014","09",4
"0106","Fredrikstad","2014","10",3.9
"0106","Fredrikstad","2014","11",3.9
"0106","Fredrikstad","2014","12",4
"0111","Hvaler","2013","07",2.1
"0111","Hvaler","2013","08",2.4
"0111","Hvaler","2013","09",2.4
"0111","Hvaler","2013","10",1.9
"0111","Hvaler","2013","11",1.8
"0111","Hvaler","2013","12",1.8
"0111","Hvaler","2014","01",2.3
"0111","Hvaler","2014","02",2.5
"0111","Hvaler","2014","03",2.2
"0111","Hvaler","2014","04",1.8
"0111","Hvaler","2014","05",1.6
"0111","Hvaler","2014","06",1.6
"0111","Hvaler","2014","07",1.8
"0111","Hvaler","2014","08",1.7
"0111","Hvaler","2014","09",1.6
"0111","Hvaler","2014","10",1.7
"0111","Hvaler","2014","11",1.6
"0111","Hvaler","2014","12",1.6
"0118","Aremark","2013","07",2.7
"0118","Aremark","2013","08",2.7
"0118","Aremark","2013","09",2.6
"0118","Aremark","2013","10",2.7
"0118","Aremark","2013","11",3.2
"0118","Aremark","2013","12",2.6
"0118","Aremark","2014","01",2.8
"0118","Aremark","2014","02",3
"0118","Aremark","2014","03",2.8
"0118","Aremark","2014","04",2.2
"0118","Aremark","2014","05",1.9
"0118","Aremark","2014","06",2.3
"0118","Aremark","2014","07",1.6
"0118","Aremark","2014","08",3
"0118","Aremark","2014","09",2.5
"0118","Aremark","2014","10",1.7
"0118","Aremark","2014","11",2.3
"0118","Aremark","2014","12",1.7
"0119","Marker","2013","07",3
"0119","Marker","2013","08",2.8
"0119","Marker","2013","09",2.7
"0119","Marker","2013","10",2.3
"0119","Marker","2013","11",2.3
"0119","Marker","2013","12",2.4
"0119","Marker","2014","01",3
"0119","Marker","2014","02",2.9
"0119","Marker","2014","03",2.9
"0119","Marker","2014","04",2.6
"0119","Marker","2014","05",2.5
"0119","Marker","2014","06",2.6
"0119","Marker","2014","07",2.9
"0119","Marker","2014","08",3
"0119","Marker","2014","09",2.3
"0119","Marker","2014","10",2.3
"0119","Marker","2014","11",2.5
"0119","Marker","2014","12",2.4
"0121","Rømskog","2013","07",2
"0121","Rømskog","2013","08",2.3
"0121","Rømskog","2013","09",2.6
"0121","Rømskog","2013","10",2.3
"0121","Rømskog","2013","11",2
"0121","Rømskog","2013","12",2.3
"0121","Rømskog","2014","01",2.3
"0121","Rømskog","2014","02",2
"0121","Rømskog","2014","03",2.6
"0121","Rømskog","2014","04",2.3
"0121","Rømskog","2014","05",2
"0121","Rømskog","2014","06",2
"0121","Rømskog","2014","07",2
"0121","Rømskog","2014","08",2
"0121","Rømskog","2014","09",1.7
"0121","Rømskog","2014","10",2
"0121","Rømskog","2014","11",1.5
"0121","Rømskog","2014","12",2
"0122","Trøgstad","2013","07",2.5
"0122","Trøgstad","2013","08",2.9
"0122","Trøgstad","2013","09",2.4
"0122","Trøgstad","2013","10",2
"0122","Trøgstad","2013","11",2.3
"0122","Trøgstad","2013","12",2.6
"0122","Trøgstad","2014","01",2.7
"0122","Trøgstad","2014","02",2.5
"0122","Trøgstad","2014","03",2.5
"0122","Trøgstad","2014","04",2.5
"0122","Trøgstad","2014","05",2.3
"0122","Trøgstad","2014","06",2.3
"0122","Trøgstad","2014","07",2.7
"0122","Trøgstad","2014","08",2.1
"0122","Trøgstad","2014","09",2
"0122","Trøgstad","2014","10",1.8
"0122","Trøgstad","2014","11",1.8
"0122","Trøgstad","2014","12",1.4
"0123","Spydeberg","2013","07",2.7
"0123","Spydeberg","2013","08",2.2
"0123","Spydeberg","2013","09",1.9
"0123","Spydeberg","2013","10",2.2
"0123","Spydeberg","2013","11",2.1
"0123","Spydeberg","2013","12",2.1
"0123","Spydeberg","2014","01",2.3
"0123","Spydeberg","2014","02",2.1
"0123","Spydeberg","2014","03",2.1
"0123","Spydeberg","2014","04",2.4
"0123","Spydeberg","2014","05",2.3
"0123","Spydeberg","2014","06",2.7
"0123","Spydeberg","2014","07",3
"0123","Spydeberg","2014","08",3
"0123","Spydeberg","2014","09",2.6
"0123","Spydeberg","2014","10",2.4
"0123","Spydeberg","2014","11",2.3
"0123","Spydeberg","2014","12",2.2
"0124","Askim","2013","07",3.9
"0124","Askim","2013","08",4
"0124","Askim","2013","09",3.3
"0124","Askim","2013","10",3.5
"0124","Askim","2013","11",3.3
"0124","Askim","2013","12",3.4
"0124","Askim","2014","01",4.1
"0124","Askim","2014","02",4.2
"0124","Askim","2014","03",4.3
"0124","Askim","2014","04",4.4
"0124","Askim","2014","05",4.2
"0124","Askim","2014","06",4.3
"0124","Askim","2014","07",4.7
"0124","Askim","2014","08",4.5
"0124","Askim","2014","09",4.6
"0124","Askim","2014","10",4.2
"0124","Askim","2014","11",4
"0124","Askim","2014","12",3.6
"0125","Eidsberg","2013","07",4.1
"0125","Eidsberg","2013","08",4
"0125","Eidsberg","2013","09",3.2
"0125","Eidsberg","2013","10",3.2
"0125","Eidsberg","2013","11",3.4
"0125","Eidsberg","2013","12",3.4
"0125","Eidsberg","2014","01",4.6
"0125","Eidsberg","2014","02",4.3
"0125","Eidsberg","2014","03",3.9
"0125","Eidsberg","2014","04",3.3
"0125","Eidsberg","2014","05",3.7
"0125","Eidsberg","2014","06",4.1
"0125","Eidsberg","2014","07",4.2
"0125","Eidsberg","2014","08",4
"0125","Eidsberg","2014","09",3.8
"0125","Eidsberg","2014","10",3.7
"0125","Eidsberg","2014","11",3.1
"0125","Eidsberg","2014","12",3.4
"0127","Skiptvet","2013","07",2.5
"0127","Skiptvet","2013","08",2.8
"0127","Skiptvet","2013","09",1.9
"0127","Skiptvet","2013","10",2.3
"0127","Skiptvet","2013","11",2.2
"0127","Skiptvet","2013","12",2.2
"0127","Skiptvet","2014","01",3.4
"0127","Skiptvet","2014","02",3.1
"0127","Skiptvet","2014","03",2.7
"0127","Skiptvet","2014","04",2.7
"0127","Skiptvet","2014","05",2.4
"0127","Skiptvet","2014","06",2.7
"0127","Skiptvet","2014","07",3
"0127","Skiptvet","2014","08",2.7
"0127","Skiptvet","2014","09",2.5
"0127","Skiptvet","2014","10",2.3
"0127","Skiptvet","2014","11",1.8
"0127","Skiptvet","2014","12",1.9
"0128","Rakkestad","2013","07",2.2
"0128","Rakkestad","2013","08",2.8
"0128","Rakkestad","2013","09",2.4
"0128","Rakkestad","2013","10",2.1
"0128","Rakkestad","2013","11",2.4
"0128","Rakkestad","2013","12",2.3
"0128","Rakkestad","2014","01",3
"0128","Rakkestad","2014","02",2.8
"0128","Rakkestad","2014","03",3.1
"0128","Rakkestad","2014","04",3.1
"0128","Rakkestad","2014","05",2.9
"0128","Rakkestad","2014","06",2.6
"0128","Rakkestad","2014","07",3
"0128","Rakkestad","2014","08",3.1
"0128","Rakkestad","2014","09",2.9
"0128","Rakkestad","2014","10",2.7
"0128","Rakkestad","2014","11",2.7
"0128","Rakkestad","2014","12",2.7
"0135","Råde","2013","07",2.6
"0135","Råde","2013","08",2.3
"0135","Råde","2013","09",2.5
"0135","Råde","2013","10",2.5
"0135","Råde","2013","11",2.7
"0135","Råde","2013","12",3
"0135","Råde","2014","01",3.4
"0135","Råde","2014","02",3.7
"0135","Råde","2014","03",3.4
"0135","Råde","2014","04",3.2
"0135","Råde","2014","05",2.9
"0135","Råde","2014","06",2.8
"0135","Råde","2014","07",3.1
"0135","Råde","2014","08",3.1
"0135","Råde","2014","09",3
"0135","Råde","2014","10",2.8
"0135","Råde","2014","11",2.5
"0135","Råde","2014","12",2.6
"0136","Rygge","2013","07",2.4
"0136","Rygge","2013","08",2.4
"0136","Rygge","2013","09",2.4
"0136","Rygge","2013","10",2.3
"0136","Rygge","2013","11",2.2
"0136","Rygge","2013","12",2.5
"0136","Rygge","2014","01",2.9
"0136","Rygge","2014","02",2.8
"0136","Rygge","2014","03",2.9
"0136","Rygge","2014","04",2.9
"0136","Rygge","2014","05",2.6
"0136","Rygge","2014","06",2.7
"0136","Rygge","2014","07",2.7
"0136","Rygge","2014","08",2.9
"0136","Rygge","2014","09",2.9
"0136","Rygge","2014","10",2.7
"0136","Rygge","2014","11",2.4
"0136","Rygge","2014","12",2.3
"0137","Våler (Østfold)","2013","07",2.8
"0137","Våler (Østfold)","2013","08",2.2
"0137","Våler (Østfold)","2013","09",2.7
"0137","Våler (Østfold)","2013","10",2.9
"0137","Våler (Østfold)","2013","11",2.6
"0137","Våler (Østfold)","2013","12",2.6
"0137","Våler (Østfold)","2014","01",2.9
"0137","Våler (Østfold)","2014","02",3.4
"0137","Våler (Østfold)","2014","03",2.9
"0137","Våler (Østfold)","2014","04",2.6
"0137","Våler (Østfold)","2014","05",2.5
"0137","Våler (Østfold)","2014","06",2.4
"0137","Våler (Østfold)","2014","07",2.5
"0137","Våler (Østfold)","2014","08",2.3
"0137","Våler (Østfold)","2014","09",2.3
"0137","Våler (Østfold)","2014","10",2
"0137","Våler (Østfold)","2014","11",1.3
"0137","Våler (Østfold)","2014","12",1.6
"0138","Hobøl","2013","07",2.8
"0138","Hobøl","2013","08",2.6
"0138","Hobøl","2013","09",2.7
"0138","Hobøl","2013","10",2.7
"0138","Hobøl","2013","11",2.6
"0138","Hobøl","2013","12",2.4
"0138","Hobøl","2014","01",2.9
"0138","Hobøl","2014","02",3.6
"0138","Hobøl","2014","03",3.7
"0138","Hobøl","2014","04",3.8
"0138","Hobøl","2014","05",3.3
"0138","Hobøl","2014","06",3.4
"0138","Hobøl","2014","07",3.7
"0138","Hobøl","2014","08",4
"0138","Hobøl","2014","09",4.2
"0138","Hobøl","2014","10",3.1
"0138","Hobøl","2014","11",2.7
"0138","Hobøl","2014","12",3
